timestamp,question_id,question,pipeline_type,ontology_attributes_count,ontology_relationships_count,aql_results_length,structured_context_length,refinement_prompt_length,refined_context_length,refined_context_tokens,context_within_target_range,generation_input_length,final_answer_length,processing_time,ontology_time,refinement_time,generation_time,success_status,error_message,notes
2026-03-21T21:52:49.580470,1,How do the accuracy and resolution of LIDAR-based measurements compare to radar-based measurements f...,1_pass_with_ontology,5,0,0,0,0,0,0,False,22,33,3.04,2.76,0.00,0.29,success,,Refined pipeline with no relationships
2026-03-21T21:53:00.453065,2,What is LIDAR and how does it measure the properties of distant targets?,1_pass_with_ontology,4,0,0,0,0,0,0,False,22,33,10.87,10.57,0.00,0.30,success,,Refined pipeline with no relationships
2026-03-21T21:53:03.963003,3,How does the wavelength of light influence the accuracy of distance measurements in LIDAR systems?,1_pass_with_ontology,5,0,0,0,0,0,0,False,22,33,3.51,3.18,0.00,0.33,success,,Refined pipeline with no relationships
2026-03-21T21:53:07.529297,4,What is the relationship between LIDAR sensor characteristics and the accuracy of range measurements...,1_pass_with_ontology,5,0,0,0,0,0,0,False,22,33,3.57,3.28,0.00,0.29,success,,Refined pipeline with no relationships
2026-03-21T21:53:11.446619,5,How do variations in groundwater chemistry influence the quality of surface water systems during sea...,1_pass_with_ontology,5,0,0,0,0,0,0,False,22,33,3.92,3.57,0.00,0.35,success,,Refined pipeline with no relationships
2026-03-21T21:53:15.777151,6,How do the chemical characteristics of groundwater compare to those of surface water in regions infl...,1_pass_with_ontology,5,0,0,0,0,0,0,False,22,33,4.33,4.05,0.00,0.28,success,,Refined pipeline with no relationships
2026-03-21T21:53:18.948969,7,What is the role of groundwater in the terrestrial hydrosphere?,1_pass_with_ontology,5,0,0,0,0,0,0,False,22,33,3.17,2.90,0.00,0.27,success,,Refined pipeline with no relationships
2026-03-21T21:53:22.622546,8,How does groundwater contamination influence the chemical characteristics of nearby surface water sy...,1_pass_with_ontology,5,0,0,0,0,0,0,False,22,33,3.67,3.37,0.00,0.30,success,,Refined pipeline with no relationships
2026-03-21T21:53:26.511893,9,What is the relationship between groundwater chemical composition and the melting rate of nearby gla...,1_pass_with_ontology,5,0,0,0,0,0,0,False,22,33,3.89,3.54,0.00,0.35,success,,Refined pipeline with no relationships
2026-03-21T21:53:30.519196,10,How does ocean circulation influence the distribution of chemical constituents in seawater?,1_pass_with_ontology,5,0,0,0,0,0,0,False,22,33,4.01,3.72,0.00,0.28,success,,Refined pipeline with no relationships
2026-03-21T21:53:34.121437,11,What is the relationship between ocean circulation patterns and the distribution of chemical constit...,1_pass_with_ontology,5,0,0,0,0,0,0,False,22,33,3.60,3.33,0.00,0.27,success,,Refined pipeline with no relationships
